device;id_30;Deviceyear;num_unique;ID;YEAR;POP1;POP;SEXE;PRODUCTION_envol;START;END;ECLO;ENVOL;PERIOD;CHICKAGE;n_all_bhv;days_available;n_foraging;ratio_foraging_all;HRker95_allhadjust;HRker95_foragingHref;Hrker_foraging_hadjust;Mean_nest_dist;prop_for_month;ODBA.mG.;daily_mean_ODBA;SPEI_har_pond
200015;200015_2023_2;200015_2023;26;26_23_2;2023;17;2;F;2;06/06/2023;05/07/2023;06/05/2023;05/07/2023;2;1;1017;29,7;571;0,56;25826,21976;19875,49836;19875,49836;4509,71;56,15;377,73;0,38;0,04
200017;200017_2022_1;200017_2022;27;27_22_1;2022;17;2;M;2;08/05/2022;07/06/2022;08/05/2022;07/07/2022;1;0;1008;30,66;418;0,41;144,5346383;507,6125051;445,7209942;1559,75;41,47;272,46;0,27;-0,93
200017;200017_2022_2;200017_2022;27;27_22_2;2022;17;2;M;2;08/06/2022;07/07/2022;08/05/2022;07/07/2022;2;1;1020;29,7;552;0,54;496,5637502;681,9162215;436,6475485;1293,29;54,12;320,35;0,32;-1,06
200018;200018_2020_1;200018_2020;28;28_20_1;2020;17;2;M;2;03/05/2020;02/06/2020;03/05/2020;02/07/2020;1;0;1000;30,65;380;0,38;192,9312274;274,4569486;274,4569486;436,52;38;245,12;0,25;1,07
200018;200018_2020_2;200018_2020;28;28_20_2;2020;17;2;M;2;03/06/2020;02/07/2020;03/05/2020;02/07/2020;2;1;1018;29,7;611;0,6;119,6661802;164,8198772;155,0503218;355,17;60,02;355,99;0,36;0,24
203562;203562_2022_1;203562_2022;29;29_22_1;2022;17;2;F;2;10/05/2022;09/06/2022;10/05/2022;09/07/2022;1;0;1013;30,68;360;0,36;114,6110295;1247,143331;1366,819878;1443,95;35,54;250,52;0,25;-0,94
203562;203562_2022_2;203562_2022;29;29_22_2;2022;17;2;F;2;10/06/2022;09/07/2022;10/05/2022;09/07/2022;2;1;1020;29,71;508;0,5;339,8028371;478,9690351;432,0637659;691,86;49,8;292,61;0,29;-1,07
203563;203563_2023_1;203563_2023;30;30_23_1;2023;17;2;M;1;08/05/2023;07/06/2023;08/05/2023;07/07/2023;1;0;1011;30,68;247;0,24;4800,777473;15532,68814;2320,621376;5101,48;24,43;208,8;0,21;0,5
203563;203563_2023_2;203563_2023;30;30_23_2;2023;17;2;M;1;08/06/2023;07/07/2023;08/05/2023;07/07/2023;2;1;1020;29,7;319;0,31;73923,71023;70081,10741;22881,82429;7378,29;31,27;244,09;0,24;0,05
210280;210280_2023_1;210280_2023;31;31_23_1;2023;17;2;M;3;03/05/2023;02/06/2023;03/05/2023;02/07/2023;1;0;991;30,65;361;0,36;644,1686902;1141,105083;1030,725608;2277,34;36,43;256,15;0,26;0,6
210280;210280_2023_2;210280_2023;31;31_23_2;2023;17;2;M;3;03/06/2023;02/07/2023;03/05/2023;02/07/2023;2;1;1018;29,7;584;0,57;2033,568685;1196,889612;692,1546515;2383,58;57,37;325,02;0,33;0,02
210281;210281_2022_1;210281_2022;32;32_22_1;2022;17;2;M;3;24/04/2022;24/05/2022;24/04/2022;23/06/2022;1;0;976;30,65;356;0,36;139,78782;833,5259041;614,9592308;983,21;36,48;243,88;0,24;-0,86
210281;210281_2022_2;210281_2022;32;32_22_2;2022;17;2;M;3;25/05/2022;23/06/2022;24/04/2022;23/06/2022;2;1;1006;29,69;539;0,54;556,0199957;1170,103173;1005,40157;1250,18;53,58;312,48;0,31;-1,02
210281;210281_2023_1;210281_2023;33;33_23_1;2023;17;2;M;3;30/04/2023;30/05/2023;30/04/2023;29/06/2023;1;0;993;30,65;309;0,31;58,1176002;1271,509534;629,3420903;921,65;31,12;218,02;0,22;0,65
210281;210281_2023_2;210281_2023;33;33_23_2;2023;17;2;M;3;31/05/2023;29/06/2023;30/04/2023;29/06/2023;2;1;1005;29,7;493;0,49;3476,358293;8563,168614;3799,675767;3289,48;49,05;313,25;0,31;0,03
210358;210358_2022_1;210358_2022;34;34_22_1;2022;17;2;F;4;21/04/2022;21/05/2022;21/04/2022;20/06/2022;1;0;968;30,65;476;0,49;213,1690775;314,5604407;228,4449656;862,55;49,17;291,47;0,29;-0,84
210358;210358_2022_2;210358_2022;34;34_22_2;2022;17;2;F;4;22/05/2022;20/06/2022;21/04/2022;20/06/2022;2;1;1005;29,69;628;0,62;188,8011346;301,6769036;246,0107897;747,66;62,49;324,04;0,32;-1
210358;210358_2023_1;210358_2023;35;35_23_1;2023;17;2;F;4;19/04/2023;19/05/2023;19/04/2023;18/06/2023;1;0;962;30,62;406;0,42;204,5312671;314,3779922;262,9382371;727,97;42,2;257,69;0,26;0,72
210358;210358_2023_2;210358_2023;35;35_23_2;2023;17;2;F;4;20/05/2023;18/06/2023;19/04/2023;18/06/2023;2;1;1003;29,69;674;0,67;315,666598;440,3653209;341,6148911;710,13;67,2;363,05;0,36;0,26
210359;210359_2022_1;210359_2022;36;36_22_1;2022;17;2;M;2;30/04/2022;30/05/2022;30/04/2022;29/06/2022;1;0;993;30,65;361;0,36;119,1356972;215,8469644;201,5288985;515,67;36,35;234,56;0,23;-0,89
210359;210359_2022_2;210359_2022;36;36_22_2;2022;17;2;M;2;31/05/2022;29/06/2022;30/04/2022;29/06/2022;2;1;1011;29,7;475;0,47;111,6938073;211,449204;230,3240621;448,72;46,98;267,26;0,27;-1,05
210359;210359_2023_1;210359_2023;37;37_23_1;2023;17;2;M;3;21/04/2023;21/05/2023;21/04/2023;20/06/2023;1;0;959;30,63;362;0,38;95,10014377;128,0282438;83,15133992;300,54;37,75;246,97;0,25;0,71
210359;210359_2023_2;210359_2023;37;37_23_2;2023;17;2;M;3;22/05/2023;20/06/2023;21/04/2023;20/06/2023;2;1;994;29,69;492;0,49;143,5110965;116,9817924;90,17684966;189,17;49,5;313,58;0,31;0,22
226969;226969_2023_1;226969_2023;38;38_23_1;2023;17;2;F;2;15/05/2023;14/06/2023;15/05/2023;14/07/2023;1;0;1055;30,69;569;0,54;216,1716739;1058,250439;1058,250439;2521,81;53,93;303,6;0,3;0,36
226972;226972_2023_1;226972_2023;39;39_23_1;2023;17;2;M;4;19/04/2023;19/05/2023;19/04/2023;18/06/2023;1;0;992;30,65;312;0,31;97,41961416;223,6576405;131,8488141;519,01;31,45;203,86;0,2;0,72
226972;226972_2023_2;226972_2023;39;39_23_2;2023;17;2;M;4;20/05/2023;18/06/2023;19/04/2023;18/06/2023;2;1;1033;29,7;479;0,46;127,7740528;208,771038;164,4048717;552,53;46,37;293,7;0,29;0,26
226973;226973_2023_1;226973_2023;40;40_23_1;2023;17;2;M;3;01/05/2023;31/05/2023;01/05/2023;30/06/2023;1;0;1013;30,42;356;0,35;131,355153;216,5691735;182,6046319;574,83;35,14;231,58;0,23;0,63
226973;226973_2023_2;226973_2023;40;40_23_2;2023;17;2;M;3;01/06/2023;30/06/2023;01/05/2023;30/06/2023;2;1;1045;29,71;486;0,47;26691,56897;17628,83519;4733,020981;4096,74;46,51;313,11;0,31;0,01
